src,dst,sport,dport,proto,length,danger
3993117344,3232235876,25718,80,6,54,1
2852205077,3232235876,55317,80,6,54,1
131669661,3232235876,30625,80,6,54,1
1469426349,3232235876,33100,80,6,54,1
2718544701,3232235876,12801,80,6,54,1
3592736154,3232235876,24464,80,6,54,1
2236312506,3232235876,11761,80,6,54,1
2895311761,3232235876,5284,80,6,54,1
1797695247,3232235876,2020,80,6,54,1
140761853,3232235876,4753,80,6,54,1
1470353307,3232235876,42684,80,6,54,1
3568645965,3232235876,5898,80,6,54,1
654515720,3232235876,36910,80,6,54,1
321981950,3232235876,26202,80,6,54,1
1342091476,3232235876,28948,80,6,54,1
1278429979,3232235876,26206,80,6,54,1
4143700024,3232235876,36702,80,6,54,1
1682392506,3232235876,21614,80,6,54,1
3806537550,3232235876,41217,80,6,54,1
765097219,3232235876,28593,80,6,54,1
2750771692,3232235876,11565,80,6,54,1
536560863,3232235876,16446,80,6,54,1
3884138669,3232235876,34636,80,6,54,1
1106340947,3232235876,37391,80,6,54,1
1183796334,3232235876,24011,80,6,54,1
770743001,3232235876,58653,80,6,54,1
2974495402,3232235876,64205,80,6,54,1
2057268954,3232235876,58028,80,6,54,1
156154817,3232235876,6157,80,6,54,1
302458835,3232235876,28332,80,6,54,1
3382888449,3232235876,64952,80,6,54,1
3063326089,3232235876,40359,80,6,54,1
688556724,3232235876,18596,80,6,54,1
2079356104,3232235876,3386,80,6,54,1
1074177054,3232235876,14632,80,6,54,1
900318453,3232235876,42531,80,6,54,1
3355074600,3232235876,51955,80,6,54,1
1891206613,3232235876,21186,80,6,54,1
1848213402,3232235876,30734,80,6,54,1
3620517926,3232235876,7276,80,6,54,1
1410987798,3232235876,51385,80,6,54,1
1063376151,3232235876,34867,80,6,54,1
1724890230,3232235876,2987,80,6,54,1
3253743021,3232235876,29747,80,6,54,1
1100004541,3232235876,48746,80,6,54,1
3314025122,3232235876,10031,80,6,54,1
985182311,3232235876,62996,80,6,54,1
688667568,3232235876,64704,80,6,54,1
1017546557,3232235876,30530,80,6,54,1
859902758,3232235876,19908,80,6,54,1
1775159924,3232235876,39951,80,6,54,1
1821680264,3232235876,38228,80,6,54,1
2542464648,3232235876,34382,80,6,54,1
863741376,3232235876,19057,80,6,54,1
3932082064,3232235876,44764,80,6,54,1
3135736769,3232235876,59198,80,6,54,1
4217857860,3232235876,33579,80,6,54,1
3218010774,3232235876,7327,80,6,54,1
418352662,3232235876,31778,80,6,54,1
891862968,3232235876,53618,80,6,54,1
1147035010,3232235876,1293,80,6,54,1
4002789130,3232235876,57206,80,6,54,1
3711764560,3232235876,19555,80,6,54,1
38806229,3232235876,57432,80,6,54,1
301187591,3232235876,31825,80,6,54,1
1319951635,3232235876,21478,80,6,54,1
2589989302,3232235876,62239,80,6,54,1
986491031,3232235876,39974,80,6,54,1
57474484,3232235876,32563,80,6,54,1
403650342,3232235876,41741,80,6,54,1
3943387423,3232235876,21970,80,6,54,1
2116945627,3232235876,20316,80,6,54,1
3915752404,3232235876,30373,80,6,54,1
4274654758,3232235876,24401,80,6,54,1
2894899272,3232235876,44378,80,6,54,1
1101533536,3232235876,49892,80,6,54,1
3898725475,3232235876,39933,80,6,54,1
1850382673,3232235876,49902,80,6,54,1
1911472175,3232235876,49344,80,6,54,1
3060596322,3232235876,15295,80,6,54,1
1620150310,3232235876,63180,80,6,54,1
2307095351,3232235876,21865,80,6,54,1
1504721430,3232235876,26835,80,6,54,1
1856213734,3232235876,58497,80,6,54,1
898084518,3232235876,54823,80,6,54,1
647636421,3232235876,40274,80,6,54,1
4144752902,3232235876,25048,80,6,54,1
3886435103,3232235876,40511,80,6,54,1
2412581803,3232235876,17455,80,6,54,1
76081691,3232235876,37314,80,6,54,1
263355956,3232235876,24399,80,6,54,1
1995431704,3232235876,61870,80,6,54,1
586936474,3232235876,38080,80,6,54,1
3442545860,3232235876,37180,80,6,54,1
93450511,3232235876,42230,80,6,54,1
1221312387,3232235876,47754,80,6,54,1
1031005929,3232235876,38630,80,6,54,1
1963636258,3232235876,12096,80,6,54,1
3482883596,3232235876,15344,80,6,54,1
1798439170,3232235876,33500,80,6,54,1
2366023034,3232235876,4731,80,6,54,1
3149284336,3232235876,27496,80,6,54,1
1598429468,3232235876,64023,80,6,54,1
2141177557,3232235876,23037,80,6,54,1
1899627962,3232235876,59413,80,6,54,1
595481740,3232235876,34373,80,6,54,1
462509077,3232235876,52543,80,6,54,1
1570239217,3232235876,56197,80,6,54,1
1246884001,3232235876,40925,80,6,54,1
238102650,3232235876,28592,80,6,54,1
3314212431,3232235876,61887,80,6,54,1
320571656,3232235876,55704,80,6,54,1
1789824811,3232235876,15558,80,6,54,1
2099574249,3232235876,3033,80,6,54,1
3503856820,3232235876,9299,80,6,54,1
4146626057,3232235876,43880,80,6,54,1
2468942462,3232235876,65250,80,6,54,1
1075727373,3232235876,45100,80,6,54,1
1483558357,3232235876,28698,80,6,54,1
941028334,3232235876,47564,80,6,54,1
2421196506,3232235876,65452,80,6,54,1
3584854494,3232235876,63148,80,6,54,1
701315758,3232235876,6014,80,6,54,1
349321641,3232235876,37111,80,6,54,1
1786118563,3232235876,30548,80,6,54,1
1452494082,3232235876,21965,80,6,54,1
3719814697,3232235876,2076,80,6,54,1
3492032366,3232235876,42901,80,6,54,1
2280831063,3232235876,5352,80,6,54,1
2061097621,3232235876,64090,80,6,54,1
2603071197,3232235876,52814,80,6,54,1
199005396,3232235876,26253,80,6,54,1
243654932,3232235876,8410,80,6,54,1
3264318929,3232235876,10053,80,6,54,1
788274365,3232235876,61780,80,6,54,1
3491333393,3232235876,62912,80,6,54,1
4037494302,3232235876,52428,80,6,54,1
3734797619,3232235876,22416,80,6,54,1
121003669,3232235876,34416,80,6,54,1
3587390513,3232235876,20849,80,6,54,1
2140518349,3232235876,2891,80,6,54,1
2933611477,3232235876,29228,80,6,54,1
2276448647,3232235876,16001,80,6,54,1
1631255382,3232235876,12982,80,6,54,1
1422725741,3232235876,41780,80,6,54,1
1348410296,3232235876,18942,80,6,54,1
3781551263,3232235876,30729,80,6,54,1
3110642716,3232235876,58081,80,6,54,1
1139707929,3232235876,27396,80,6,54,1
470985305,3232235876,45819,80,6,54,1
2741825557,3232235876,13742,80,6,54,1
508172044,3232235876,26928,80,6,54,1
1141472130,3232235876,29562,80,6,54,1
3754122721,3232235876,37148,80,6,54,1
805548727,3232235876,19273,80,6,54,1
500789562,3232235876,43580,80,6,54,1
4017743270,3232235876,12702,80,6,54,1
1552455159,3232235876,58708,80,6,54,1
1049132563,3232235876,11076,80,6,54,1
2215810818,3232235876,21189,80,6,54,1
2728364010,3232243089,443,54225,6,168,0
2728364010,3232243089,443,54225,6,235,0
3232243089,2728364010,54225,443,6,54,0
3232243089,2658669270,0,0,17,192,0
3232243089,3232243199,0,0,17,86,0
2728364010,3232243089,443,54225,6,190,0
3232243089,2728364010,54225,443,6,54,0
3232243089,2609243716,54233,27018,6,108,0
2609243716,3232243089,27018,54233,6,54,0
2728364010,3232243089,443,54225,6,257,0
3232243089,2728364010,54225,443,6,54,0
2509940521,3232243089,443,54209,6,415,0
3232243089,2509940521,54209,443,6,54,0
2728364010,3232243089,443,54225,6,219,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,302,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,101,0
2728364010,3232243089,443,54225,6,99,0
2728364010,3232243089,443,54225,6,97,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,118,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,244,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,109,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,212,0
3232243089,2728364010,54225,443,6,54,0
3232243089,2658669270,0,0,17,144,0
2658669270,3232243089,0,0,17,132,0
3232243089,2658669270,0,0,17,144,0
2658669270,3232243089,0,0,17,132,0
3232243089,964737980,60230,17301,6,90,0
964737980,3232243089,17301,60230,6,90,0
3232243089,964737980,60230,17301,6,54,0
2728364010,3232243089,443,54225,6,132,0
2728364010,3232243089,443,54225,6,98,0
3232243089,2728364010,54225,443,6,54,0
3232243089,2509940521,54209,443,6,223,0
2509940521,3232243089,443,54209,6,54,0
2509940521,3232243089,443,54209,6,3714,0
3232243089,2509940521,54209,443,6,54,0
2509940521,3232243089,443,54209,6,532,0
3232243089,2509940521,54209,443,6,54,0
3232243089,580780421,54222,4070,6,854,0
580780421,3232243089,4070,54222,6,109,0
3232243089,580780421,54222,4070,6,54,0
3232243089,2509940521,54209,443,6,287,0
2509940521,3232243089,443,54209,6,54,0
2728364010,3232243089,443,54225,6,242,0
2728364010,3232243089,443,54225,6,153,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,99,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,356,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,444,0
2509940521,3232243089,443,54209,6,559,0
3232243089,2509940521,54209,443,6,287,0
3232243089,2728364010,54225,443,6,54,0
2509940521,3232243089,443,54209,6,54,0
2687426051,3232235876,2778,80,6,54,1
3039591007,3232235876,7670,80,6,54,1
3367771074,3232235876,16366,80,6,54,1
2983533148,3232235876,56334,80,6,54,1
1948410638,3232235876,3493,80,6,54,1
1685237651,3232235876,35005,80,6,54,1
3923544919,3232235876,30690,80,6,54,1
3797926345,3232235876,15503,80,6,54,1
850915389,3232235876,37293,80,6,54,1
1338744475,3232235876,25026,80,6,54,1
3817563272,3232235876,49024,80,6,54,1
2281919329,3232235876,1955,80,6,54,1
76311247,3232235876,31317,80,6,54,1
2991065971,3232235876,28339,80,6,54,1
1726000769,3232235876,31393,80,6,54,1
1022008266,3232235876,32759,80,6,54,1
3523356889,3232235876,2469,80,6,54,1
1754330184,3232235876,30373,80,6,54,1
533146601,3232235876,58432,80,6,54,1
3377132206,3232235876,54582,80,6,54,1
3861942867,3232235876,26469,80,6,54,1
2669408061,3232235876,59003,80,6,54,1
2461517829,3232235876,27885,80,6,54,1
1441491629,3232235876,1035,80,6,54,1
3504528938,3232235876,44143,80,6,54,1
79625774,3232235876,33062,80,6,54,1
171847599,3232235876,5584,80,6,54,1
2619441124,3232235876,17076,80,6,54,1
3476875791,3232235876,42023,80,6,54,1
4236204764,3232235876,48340,80,6,54,1
3736079132,3232235876,51064,80,6,54,1
810398532,3232235876,27217,80,6,54,1
125251182,3232235876,30660,80,6,54,1
3062907343,3232235876,47038,80,6,54,1
4138934412,3232235876,27507,80,6,54,1
4002846211,3232235876,12062,80,6,54,1
1267551641,3232235876,61042,80,6,54,1
3232243089,2728364010,54225,443,6,108,0
3845776405,3232235876,63860,80,6,54,1
3382065467,3232235876,50038,80,6,54,1
1197398190,3232235876,62049,80,6,54,1
3400926171,3232235876,23453,80,6,54,1
720445584,3232235876,60459,80,6,54,1
3766302118,3232235876,11536,80,6,54,1
2549065615,3232235876,33316,80,6,54,1
3187309826,3232235876,63142,80,6,54,1
1547644421,3232235876,65162,80,6,54,1
1161728754,3232235876,17061,80,6,54,1
1490619719,3232235876,20552,80,6,54,1
2591867727,3232235876,56921,80,6,54,1
2318535880,3232235876,21375,80,6,54,1
186416657,3232235876,53324,80,6,54,1
3876148975,3232235876,11440,80,6,54,1
283230574,3232235876,56627,80,6,54,1
2904514091,3232235876,55100,80,6,54,1
1237374398,3232235876,26089,80,6,54,1
1648545184,3232235876,54624,80,6,54,1
3033388931,3232235876,44290,80,6,54,1
1965054025,3232235876,2768,80,6,54,1
173901938,3232235876,1307,80,6,54,1
4200458838,3232235876,21990,80,6,54,1
4221667104,3232235876,60653,80,6,54,1
3713106095,3232235876,50557,80,6,54,1
3327716319,3232235876,21510,80,6,54,1
2653085453,3232235876,38921,80,6,54,1
3082903373,3232235876,3971,80,6,54,1
926916845,3232235876,43225,80,6,54,1
2728364010,3232243089,443,54225,6,54,0
524324600,3232235876,14104,80,6,54,1
3723785662,3232235876,48610,80,6,54,1
1517653270,3232235876,54882,80,6,54,1
1884264087,3232235876,5258,80,6,54,1
153154627,3232235876,28781,80,6,54,1
1953792825,3232235876,21699,80,6,54,1
1462285253,3232235876,2128,80,6,54,1
307124908,3232235876,55976,80,6,54,1
2761305707,3232235876,59360,80,6,54,1
3162924593,3232235876,41975,80,6,54,1
426363414,3232235876,47059,80,6,54,1
2767719532,3232235876,5577,80,6,54,1
359394415,3232235876,11384,80,6,54,1
2497047773,3232235876,65515,80,6,54,1
242294496,3232235876,16861,80,6,54,1
75555297,3232235876,60911,80,6,54,1
1159709112,3232235876,30061,80,6,54,1
3441392906,3232235876,30061,80,6,54,1
1002185214,3232235876,45657,80,6,54,1
648966288,3232235876,39097,80,6,54,1
1648397664,3232235876,42002,80,6,54,1
646641069,3232235876,5426,80,6,54,1
2258569321,3232235876,34095,80,6,54,1
3382930360,3232235876,51274,80,6,54,1
1451443417,3232235876,55944,80,6,54,1
1319969170,3232235876,25930,80,6,54,1
2810902792,3232235876,28468,80,6,54,1
489918551,3232235876,5941,80,6,54,1
2420389902,3232235876,20878,80,6,54,1
2942651545,3232235876,34475,80,6,54,1
2348021464,3232235876,54535,80,6,54,1
967187280,3232235876,40756,80,6,54,1
763099705,3232235876,3966,80,6,54,1
2837107560,3232235876,14817,80,6,54,1
1350186866,3232235876,19249,80,6,54,1
1170023581,3232235876,39463,80,6,54,1
3010416946,3232235876,12308,80,6,54,1
775609616,3232235876,46103,80,6,54,1
504801839,3232235876,5254,80,6,54,1
2225124172,3232235876,55875,80,6,54,1
3677524337,3232235876,17394,80,6,54,1
937496497,3232235876,2427,80,6,54,1
1083256683,3232235876,50699,80,6,54,1
1636252129,3232235876,16346,80,6,54,1
4052819402,3232235876,55498,80,6,54,1
2728364010,3232243089,443,54225,6,94,0
1377216165,3232235876,56847,80,6,54,1
3758244662,3232235876,46967,80,6,54,1
1440258926,3232235876,33124,80,6,54,1
1037255967,3232235876,54645,80,6,54,1
2196726238,3232235876,45133,80,6,54,1
2678644662,3232235876,39108,80,6,54,1
3618604580,3232235876,37834,80,6,54,1
3703232275,3232235876,63296,80,6,54,1
1188736252,3232235876,46956,80,6,54,1
521267734,3232235876,20535,80,6,54,1
2375195526,3232235876,60695,80,6,54,1
2752314933,3232235876,58402,80,6,54,1
769757844,3232235876,35354,80,6,54,1
2954318230,3232235876,57847,80,6,54,1
654797793,3232235876,16814,80,6,54,1
64238946,3232235876,34008,80,6,54,1
3232243089,2728364010,54225,443,6,54,0
1440934602,3232235876,31961,80,6,54,1
1582936052,3232235876,27024,80,6,54,1
497040671,3232235876,63915,80,6,54,1
2382471072,3232235876,18253,80,6,54,1
3595034409,3232235876,51597,80,6,54,1
2205296366,3232235876,13430,80,6,54,1
2679408309,3232235876,53537,80,6,54,1
1664610674,3232235876,41234,80,6,54,1
3666162244,3232235876,2070,80,6,54,1
3213569213,3232235876,36757,80,6,54,1
2728364010,3232243089,443,54225,6,119,0
2341286095,3232235876,25217,80,6,54,1
4052688785,3232235876,60556,80,6,54,1
1588574445,3232235876,5773,80,6,54,1
3236914440,3232235876,42821,80,6,54,1
292394556,3232235876,19124,80,6,54,1
2731538334,3232235876,37325,80,6,54,1
2509438376,3232235876,21677,80,6,54,1
1751792443,3232235876,20861,80,6,54,1
2055591572,3232235876,54637,80,6,54,1
1506578738,3232235876,40650,80,6,54,1
208889112,3232235876,30115,80,6,54,1
307156367,3232235876,35449,80,6,54,1
2838948283,3232235876,28379,80,6,54,1
2431461870,3232235876,42760,80,6,54,1
1040518045,3232235876,44025,80,6,54,1
2368482865,3232235876,52270,80,6,54,1
1836154244,3232235876,8674,80,6,54,1
1614625835,3232235876,35578,80,6,54,1
148686818,3232235876,16275,80,6,54,1
1441842836,3232235876,43276,80,6,54,1
1795755893,3232235876,14943,80,6,54,1
2546207333,3232235876,3523,80,6,54,1
1524867921,3232235876,48749,80,6,54,1
1956366894,3232235876,42387,80,6,54,1
732847138,3232235876,45086,80,6,54,1
2706051879,3232235876,9662,80,6,54,1
1227538410,3232235876,37409,80,6,54,1
762435504,3232235876,22317,80,6,54,1
1677051678,3232235876,37270,80,6,54,1
3232243089,2728364010,54225,443,6,54,0
2932143345,3232235876,23569,80,6,54,1
916896369,3232235876,7803,80,6,54,1
4097783117,3232235876,15383,80,6,54,1
743265180,3232235876,3512,80,6,54,1
2595108857,3232235876,64386,80,6,54,1
1279239214,3232235876,40771,80,6,54,1
2922093811,3232235876,58666,80,6,54,1
2592464282,3232235876,2986,80,6,54,1
3953180750,3232235876,32992,80,6,54,1
2253192049,3232235876,51585,80,6,54,1
3071648172,3232235876,42866,80,6,54,1
2591714201,3232235876,56122,80,6,54,1
2804191188,3232235876,58917,80,6,54,1
2722117545,3232235876,38060,80,6,54,1
1801034789,3232235876,26045,80,6,54,1
3682948113,3232235876,3536,80,6,54,1
2479206546,3232235876,55614,80,6,54,1
2444832324,3232235876,37805,80,6,54,1
3991612741,3232235876,27865,80,6,54,1
4048420586,3232235876,17079,80,6,54,1
1424054310,3232235876,48096,80,6,54,1
3017017779,3232235876,45224,80,6,54,1
614743239,3232235876,58887,80,6,54,1
3876469813,3232235876,46789,80,6,54,1
2267808026,3232235876,63750,80,6,54,1
916446648,3232235876,34423,80,6,54,1
3044432614,3232235876,15898,80,6,54,1
3441273189,3232235876,25133,80,6,54,1
871538813,3232235876,29338,80,6,54,1
2703191928,3232235876,53596,80,6,54,1
1279101711,3232235876,57758,80,6,54,1
2791371135,3232235876,63940,80,6,54,1
1730516597,3232235876,30039,80,6,54,1
2846118904,3232235876,29285,80,6,54,1
2728364010,3232243089,443,54225,6,442,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,262,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,123,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,120,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,299,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,208,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,213,0
3232243089,2728364010,54225,443,6,54,0
3232243089,3232243119,0,0,17,79,0
3232243089,3232243119,0,0,17,79,0
3232243119,3232243089,0,0,17,159,0
3232243089,3232243119,0,0,17,79,0
3232243119,3232243089,0,0,17,138,0
3232243089,2728364264,60608,443,6,66,1
2728364010,3232243089,443,54225,6,122,0
2728364264,3232243089,443,60608,6,66,1
3232243089,2728364264,60608,443,6,54,0
3232243089,2728364264,60608,443,6,235,0
3232243089,2728364010,54225,443,6,54,0
2728364264,3232243089,443,60608,6,54,0
2728364264,3232243089,443,60608,6,2494,0
3232243089,2728364264,60608,443,6,54,0
2728364264,3232243089,443,60608,6,341,0
3232243089,2728364264,60608,443,6,147,0
2728364264,3232243089,443,60608,6,312,0
3232243089,2728364264,60608,443,6,342,0
2728364264,3232243089,443,60608,6,54,0
